7570,7477,0,0.55
7570,7478,0,1.73
7570,7663,0,0.55
7570,7664,0,1.73
7570,7571,0,16.51
7571,7479,1,1.73
7571,7665,1,1.73
7571,7572,1,16.51
7664,7572,1,1.22
7664,7665,1,11.61
7478,7479,1,5.96
7570,7569,1,0.28
7572,7480,2,1.73
7572,7666,2,1.73
7572,7573,2,16.51
7479,7480,2,5.96
7477,7385,2,0.63
7664,7758,2,1.22
7663,7757,2,0.63
7665,7666,2,5.96
7570,7476,2,0.33
7570,7662,2,0.33
7480,7481,3,3.49
7758,7759,3,3.49
7666,7667,3,11.61
7385,7386,3,11.61
7476,7384,3,1.22
7573,7481,3,1.22
7573,7667,3,1.22
7573,7574,3,11.61
7662,7756,3,1.73
7478,7386,3,0.63
7759,7760,4,3.49
7667,7575,4,1.22
7667,7761,4,1.22
7667,7668,4,11.61
7574,7575,4,3.49
7666,7760,4,1.22
7479,7387,4,0.63
7385,7293,4,1.22
7481,7482,4,3.49
7386,7387,4,3.49
7761,7762,5,3.49
7384,7292,5,1.22
7293,7294,5,3.49
7387,7388,5,3.49
7575,7576,5,3.49
7662,7755,5,0.55
7756,7850,5,1.22
7668,7669,5,3.49
7482,7483,5,3.49
7476,7383,5,0.39
7569,7475,5,0.33
7569,7661,5,0.33
7569,7568,5,0.28
7755,7849,6,1.22
7483,7484,6,3.49
7669,7670,6,3.49
7383,7291,6,1.22
7850,7851,6,3.49
7762,7763,6,3.49
7294,7295,6,3.49
7576,7577,6,3.49
7388,7389,6,3.49
7758,7852,6,0.37
7757,7851,6,0.37
7484,7485,7,2.96
7577,7578,7,2.96
7389,7390,7,2.96
7295,7296,7,2.96
7763,7764,7,2.96
7759,7853,7,0.35
7662,7754,7,0.3
7670,7671,7,2.96
7852,7853,7,2.96
7485,7486,8,2.96
7390,7391,8,2.96
7578,7579,8,2.96
7296,7297,8,10.4
7755,7848,8,0.4
7671,7672,8,2.96
7761,7855,8,0.35
7760,7854,8,0.35
7293,7201,8,0.35
7853,7854,8,2.96
7383,7290,8,0.4
7764,7765,8,2.96
7475,7382,8,0.4
7486,7487,9,2.96
7391,7392,9,2.96
7297,7298,9,2.96
7579,7580,9,2.96
7672,7673,9,2.96
7296,7204,9,1.23
7201,7202,9,2.96
7765,7766,9,2.96
7855,7856,9,2.96
7850,7944,9,0.35
7762,7856,9,0.35
7292,7200,9,0.35
7294,7202,9,0.35
7487,7488,10,2.96
7392,7393,10,2.96
7298,7299,10,2.96
7204,7205,10,2.96
7580,7581,10,2.96
7673,7674,10,2.96
7766,7767,10,2.96
7202,7203,10,2.96
7849,7943,10,0.35
7291,7199,10,0.35
7763,7857,10,0.35
7944,7945,10,2.96
7856,7857,10,2.96
7767,7768,11,2.96
7205,7206,11,2.96
7488,7489,11,2.96
7393,7394,11,2.96
7290,7198,11,0.35
7581,7582,11,2.96
7383,7289,11,0.24
7674,7582,11,1.23
7674,7768,11,1.23
7674,7675,11,10.4
7382,7289,11,0.4
7200,7108,11,1.23
7945,7946,11,2.96
7848,7942,11,0.35
7475,7567,11,0.24
7299,7300,11,2.96
7661,7567,11,0.24
7852,7946,11,0.35
7755,7847,11,0.24
7857,7858,11,2.96
7764,7858,11,0.35
7675,7676,12,2.96
7768,7769,12,2.96
7206,7207,12,2.96
7858,7859,12,2.96
7943,8037,12,1.23
7108,7109,12,4.85
7489,7490,12,2.96
7300,7301,12,2.96
7203,7111,12,1.23
7394,7395,12,2.96
7582,7583,12,2.96
7475,7381,12,0.24
7475,7474,12,0.2
7946,7947,12,2.96
7661,7753,12,0.24
7661,7660,12,0.2
7765,7859,12,0.35
7853,7947,12,0.35
7676,7677,13,3.49
7207,7208,13,3.49
8037,8038,13,3.49
7111,7112,13,3.49
7583,7584,13,3.49
7769,7770,13,3.49
7947,7948,13,3.49
7109,7110,13,3.49
7942,8036,13,1.22
7490,7491,13,3.49
7395,7396,13,3.49
7301,7302,13,3.49
7200,7107,13,0.39
7766,7860,13,0.37
7202,7110,13,0.37
7855,7949,13,0.37
7854,7948,13,0.37
7859,7860,13,3.49
7856,7950,13,0.37
8038,8039,14,3.49
7112,7020,14,1.73
7112,7113,14,16.51
7584,7585,14,3.49
7860,7861,14,3.49
7950,7951,14,3.49
7208,7209,14,3.49
7677,7678,14,3.49
7289,7197,14,0.37
7767,7861,14,0.37
7302,7303,14,3.49
7108,7016,14,0.63
7205,7113,14,0.37
7770,7771,14,3.49
7491,7492,14,3.49
7396,7397,14,3.49
7857,7951,14,0.37
7847,7941,14,0.37
7020,7114,15,1.22
7020,7021,15,11.61
7585,7493,15,1.22
7585,7679,15,1.22
7585,7586,15,11.61
7861,7862,15,3.49
7397,7398,15,3.49
7771,7772,15,3.49
7113,7114,15,11.61
7016,7017,15,3.49
7209,7210,15,3.49
7381,7288,15,0.39
7753,7846,15,0.39
7768,7862,15,0.37
7303,7304,15,3.49
7206,7114,15,0.37
8039,8040,15,3.49
7942,8035,15,0.39
7858,7952,15,0.37
